SampleSize,100,100,100,100,100,1000,1000,1000,1000,1000
NoiseLevel,0.00,0.05,0.10,0.15,0.20,0.00,0.05,0.10,0.15,0.20
EquationName,,,,,,,,,,
FeynmanBonus1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus12,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus13,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus14,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus15,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus16,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus17,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FeynmanBonus2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus20,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus7,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
FeynmanBonus9,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
